startup_round_id,startup_id,participant_id,participant_type,round_record_date,traction
10907,69242,13,User,2012-4-04 23:09:31,573000
10907,69242,38,User,2012-4-04 23:09:31,573000
10907,69242,2,User,2013-2-19 12:24:42,30000
10907,69242,30752,Startup,2013-3-05 12:26:12,30000
10913,148865,91083,Startup,2012-4-04 23:09:33,120000
10913,148865,59,User,2012-4-04 23:09:33,120000
10914,148865,91083,Startup,2013-4-04 23:09:34,6950
10915,100211,126537,Startup,2012-4-04 23:09:34,
10915,100211,174215,Startup,2012-4-04 23:09:34,
10915,100211,78,User,2012-4-04 23:09:34,
10915,100211,73,User,2012-4-04 23:09:34,
10915,100211,6,User,2012-4-04 23:09:34,
10915,100211,42,User,2012-4-04 23:09:34,
10915,100211,30752,Startup,2012-10-30 14:29:26,
10916,168502,173276,Startup,2013-4-04 23:09:34,2e+05
10916,168502,173881,Startup,2013-4-04 23:09:34,2e+05
10916,168502,88314,Startup,2013-4-04 23:09:34,2e+05
10916,168502,62,User,2013-4-04 23:09:35,2e+05
10916,168502,37,User,2013-4-04 23:09:35,2e+05
10916,168502,25,User,2013-4-04 23:09:35,2e+05
10916,168502,8,User,2013-4-04 23:09:35,2e+05
10916,168502,20,User,2013-4-04 23:09:35,2e+05
10916,168502,33,User,2013-4-04 23:09:35,2e+05
10916,168502,6,User,2013-4-04 23:09:35,2e+05
10916,168502,45,User,2013-4-04 23:09:35,2e+05
10916,168502,44,User,2013-4-04 23:09:35,2e+05
10916,168502,27,User,2013-4-04 23:09:35,2e+05
10916,168502,31,User,2013-4-04 23:09:35,2e+05
10916,168502,8,User,2013-4-04 23:09:36,2e+05
10916,168502,52,User,2013-4-04 23:09:36,2e+05
10916,168502,49,User,2013-4-04 23:09:36,2e+05
10916,168502,36,User,2013-4-04 23:09:36,2e+05
10916,168502,61,User,2013-4-04 23:09:36,2e+05
10916,168502,48,User,2013-12-25 12:22:53,2e+05
10916,168502,66,User,2013-3-19 11:26:36,2e+05
10917,168502,162729,Startup,2012-4-04 23:09:37,3787
10917,168502,174404,Startup,2012-4-04 23:09:37,3787
10917,168502,87995,Startup,2012-4-04 23:09:37,3787
10917,168502,174404,Startup,2012-4-04 23:09:37,3787
10917,168502,173152,Startup,2012-4-10 12:52:47,3787
10918,100211,166525,Startup,2013-4-04 23:09:37,27151033
10918,100211,47,User,2013-4-04 23:09:37,27151033
10918,100211,23,User,2013-4-04 23:09:37,27151033
10918,100211,28,User,2013-4-04 23:09:37,27151033
10918,100211,54,User,2013-4-04 23:09:37,27151033
10918,100211,2,User,2013-4-04 23:09:37,27151033
10918,100211,46,User,2013-4-04 23:09:37,27151033
10918,100211,100211,Startup,2013-4-04 23:09:37,27151033
10918,100211,10,User,2013-4-04 23:09:38,27151033
10918,100211,20,User,2013-4-04 23:09:38,27151033
10918,100211,65,User,2013-4-04 23:09:38,27151033
10918,100211,72,User,2013-4-04 23:09:38,27151033
10918,100211,79,User,2013-10-02 14:29:13,27151033
10919,162940,173340,Startup,2012-4-04 23:09:38,3300000
10919,162940,88698,Startup,2012-4-04 23:09:38,3300000
10919,162940,55,User,2012-4-04 23:09:38,3300000
10919,162940,48,User,2012-4-04 23:09:38,3300000
10919,162940,60,User,2012-4-04 23:09:38,3300000
10919,162940,161453,Startup,2012-4-05 18:45:34,3300000
10920,162940,65374,Startup,2013-4-04 23:09:39,1e+05
10921,148865,171646,Startup,2012-4-04 23:09:39,120000
10922,85725,172714,Startup,2013-4-04 23:09:39,100
10923,85725,67163,Startup,2012-4-04 23:09:39,62000
10923,85725,166525,Startup,2012-4-04 23:09:39,62000
10923,85725,25,User,2012-4-04 23:09:39,62000
10924,69245,25,User,2013-4-04 23:09:39,11297928
10924,69245,30,User,2013-4-04 23:09:40,11297928
10924,69245,17,User,2013-4-04 23:09:40,11297928
10924,69245,55,User,2013-4-04 23:09:40,11297928
10925,174125,3616,Startup,2012-4-04 23:09:40,0
10927,174126,174404,Startup,2012-4-04 23:09:40,15000
10927,174126,8,User,2012-4-04 23:09:40,15000
10927,174126,91083,Startup,2013-2-20 19:05:57,50000
10927,174126,171666,Startup,2013-2-20 19:05:57,50000
10927,174126,62,User,2013-2-20 19:05:57,50000
10927,174126,2,User,2013-2-20 19:05:57,50000
10927,174126,23,User,2013-2-20 19:05:57,50000
10927,174126,34,User,2013-2-20 19:05:57,50000
10927,174126,17,User,2013-2-20 19:05:57,50000
10928,161453,70,User,2013-4-04 23:09:40,38000
10928,161453,10,User,2013-4-04 23:09:41,38000
10928,161453,46,User,2013-4-04 23:09:41,38000
10929,161453,39,User,2012-4-04 23:09:41,1299636
10929,161453,171646,Startup,2012-4-04 23:09:41,1299636
10929,161453,26,User,2012-4-04 23:09:41,1299636
10929,161453,13,User,2012-4-04 23:09:41,1299636
10929,161453,23,User,2012-4-04 23:09:41,1299636
10930,171666,10809,Startup,2013-4-04 23:09:41,75000
10930,171666,147831,Startup,2013-4-04 23:09:41,75000
10930,171666,68,User,2013-4-04 23:09:41,75000
10930,171666,5,User,2013-4-04 23:09:41,75000
10930,171666,40,User,2013-4-04 23:09:41,75000
10930,171666,60,User,2013-4-04 23:09:41,75000
10930,171666,74,User,2013-4-04 23:09:41,75000
10931,165544,77503,Startup,2012-4-04 23:09:43,42
10932,173340,50,User,2013-4-04 23:09:43,50000
10933,173340,90284,Startup,2012-4-04 23:09:43,50000
10933,173340,173260,Startup,2012-4-04 23:09:43,50000
10933,173340,172721,Startup,2012-4-04 23:09:43,50000
10933,173340,2,User,2012-4-04 23:09:43,50000
