Portfolio Company Name,Website,Stage,Deal Date,Deal Size,DealSize (USD mn),DealSize (EUR mn),Total Known Funding (USD mn),Total Known Funding (EUR mn),Deal Status,Investors,Specific Funds,State,Location,Region,VC Industry Classification,Primary Industry,Sub-Industries,Investment Status
ZTEC Instruments,www.ztecinstruments.com,Unspecified Round,9/21/04,0.75 USD,0.75,0.6,1,0.77,Completed,Verge,,New Mexico,US,North America,Semic. & Electronics,Electronics,Electronic Components,Realised
ZTEC Instruments,www.ztecinstruments.com,Grant,8/13/05,0.05 USD,0.05,0.04,1,0.77,Completed,,,New Mexico,US,North America,Semic. & Electronics,Electronics,Electronic Components,Realised
Zuberance,www.zuberance.com,Series B/Round 2,10/26/10,8.00 USD,8,5.75,12,8.74,Completed,"Canaan Partners, Correlation Ventures, Emergence Capital Partners","Canaan Equity VIII, Emergence Capital Partners II *",,US,North America,Software & Related,Software,Sales & Marketing Software,Active
Zuberance,www.zuberance.com,Series A/Round 1,11/24/08,4.00 USD,4,2.99,12,8.74,Completed,Emergence Capital Partners,Emergence Capital Partners II *,,US,North America,Software & Related,Software,Sales & Marketing Software,Active
Zubie,www.zubie.co,Seed,5/1/12,,,,10,7.46,Completed,"Best Buy Co., Inc.",,,US,North America,Telecoms,Telecoms,Mobile Applications,Active
Zubie,www.zubie.co,Series A/Round 1,11/1/12,,,,10,7.46,Completed,OpenAir Equity Partners,,,US,North America,Telecoms,Telecoms,Mobile Applications,Active
Zubie,www.zubie.co,Series A/Round 1,9/16/13,8.00 USD,8,6.01,10,7.46,Completed,OpenAir Equity Partners,,,US,North America,Telecoms,Telecoms,Mobile Applications,Active
Zubie,www.zubie.co,Series A/Round 1,12/12/13,2.00 USD,2,1.45,10,7.46,Completed,"Castrol innoVentures, OpenAir Equity Partners",,,US,North America,Telecoms,Telecoms,Mobile Applications,Active
Zubka.com,www.zubka.com,Series A/Round 1,2/9/07,,,,,,Completed,Balderton Capital,Benchmark Capital European Fund III,,UK,West Europe,Internet,Internet,Web Applications,Active
Zuga Medical Inc.,www.zugamedical.com,Unspecified Round,3/23/12,0.10 USD,0.1,0.08,0.35,0.27,Completed,Ohio Innovation Fund,,Ohio,US,North America,Health Care,Medical Devices,,Active
Zuga Medical Inc.,www.zugamedical.com,Unspecified Round,6/12/13,0.25 USD,0.25,0.19,0.35,0.27,Completed,JumpStart,,Ohio,US,North America,Health Care,Medical Devices,,Active
Zula,www.zulaapp.com,Seed,5/22/13,0.35 USD,0.35,0.27,3.35,2.49,Completed,OurCrowd,,California,US,North America,Telecoms,Telecoms,"Communications, Mobile Applications",Active
Zula,www.zulaapp.com,Seed,11/18/13,,,,3.35,2.49,Completed,Microsoft Ventures,,California,US,North America,Telecoms,Telecoms,"Communications, Mobile Applications",Active
Zula,www.zulaapp.com,Series A/Round 1,6/11/14,3.00 USD,3,2.22,3.35,2.49,Completed,"Microsoft Ventures, OurCrowd",,California,US,North America,Telecoms,Telecoms,"Communications, Mobile Applications",Active
